: gram2-opposite
ymwybodol anymwybodol onest anonest
ymwybodol anymwybodol economaidd aneconomaidd
ymwybodol anymwybodol llythrennedd anllythrennedd
ymwybodol anymwybodol ffafrio anffafrio
ymwybodol anymwybodol sefydlog ansefydlog
ymwybodol anymwybodol rhagweledig anrhagweledig
ymwybodol anymwybodol parod amharod 
ymwybodol anymwybodol trugarog anhrugarog
ymwybodol anymwybodol caredig angharedig
ymwybodol anymwybodol blinedig anflinedig
ymwybodol anymwybodol diddorol anniddorol
ymwybodol anymwybodol gobeithiol anobeithiol
ymwybodol anymwybodol marwaidd anfarwaidd
ymwybodol anymwybodol elfennu dadelfennu
ymwybodol anymwybodol uno daduno
ymwybodol anymwybodol adeiladu dadadeiladu
ymwybodol anymwybodol gorchuddio dadorchuddio
ymwybodol anymwybodol plygu dadblygu 
ymwybodol anymwybodol tyngu dad-dyngu
ymwybodol anymwybodol daearu dad-ddaearu
ymwybodol anymwybodol meddiannu dadfeddiannu
ymwybodol anymwybodol llwytho dadlwytho
ymwybodol anymwybodol huno dihuno
ymwybodol anymwybodol dirdro diddirdro
ymwybodol anymwybodol enw dienw
ymwybodol anymwybodol ofn diofn
ymwybodol anymwybodol dadl diddadl
ymwybodol anymwybodol cefnogaeth digefnogaeth
ymwybodol anymwybodol defnydd diddefnydd
onest anonest economaidd aneconomaidd
onest anonest llythrennedd anllythrennedd
onest anonest ffafrio anffafrio
onest anonest sefydlog ansefydlog
onest anonest rhagweledig anrhagweledig
onest anonest parod amharod 
onest anonest trugarog anhrugarog
onest anonest caredig angharedig
onest anonest blinedig anflinedig
onest anonest diddorol anniddorol
onest anonest gobeithiol anobeithiol
onest anonest marwaidd anfarwaidd
onest anonest elfennu dadelfennu
onest anonest uno daduno
onest anonest adeiladu dadadeiladu
onest anonest gorchuddio dadorchuddio
onest anonest plygu dadblygu 
onest anonest tyngu dad-dyngu
onest anonest daearu dad-ddaearu
onest anonest meddiannu dadfeddiannu
onest anonest llwytho dadlwytho
onest anonest huno dihuno
onest anonest dirdro diddirdro
onest anonest enw dienw
onest anonest ofn diofn
onest anonest dadl diddadl
onest anonest cefnogaeth digefnogaeth
onest anonest defnydd diddefnydd
economaidd aneconomaidd llythrennedd anllythrennedd
economaidd aneconomaidd ffafrio anffafrio
economaidd aneconomaidd sefydlog ansefydlog
economaidd aneconomaidd rhagweledig anrhagweledig
economaidd aneconomaidd parod amharod 
economaidd aneconomaidd trugarog anhrugarog
economaidd aneconomaidd caredig angharedig
economaidd aneconomaidd blinedig anflinedig
economaidd aneconomaidd diddorol anniddorol
economaidd aneconomaidd gobeithiol anobeithiol
economaidd aneconomaidd marwaidd anfarwaidd
economaidd aneconomaidd elfennu dadelfennu
economaidd aneconomaidd uno daduno
economaidd aneconomaidd adeiladu dadadeiladu
economaidd aneconomaidd gorchuddio dadorchuddio
economaidd aneconomaidd plygu dadblygu 
economaidd aneconomaidd tyngu dad-dyngu
economaidd aneconomaidd daearu dad-ddaearu
economaidd aneconomaidd meddiannu dadfeddiannu
economaidd aneconomaidd llwytho dadlwytho
economaidd aneconomaidd huno dihuno
economaidd aneconomaidd dirdro diddirdro
economaidd aneconomaidd enw dienw
economaidd aneconomaidd ofn diofn
economaidd aneconomaidd dadl diddadl
economaidd aneconomaidd cefnogaeth digefnogaeth
economaidd aneconomaidd defnydd diddefnydd
llythrennedd anllythrennedd ffafrio anffafrio
llythrennedd anllythrennedd sefydlog ansefydlog
llythrennedd anllythrennedd rhagweledig anrhagweledig
llythrennedd anllythrennedd parod amharod 
llythrennedd anllythrennedd trugarog anhrugarog
llythrennedd anllythrennedd caredig angharedig
llythrennedd anllythrennedd blinedig anflinedig
llythrennedd anllythrennedd diddorol anniddorol
llythrennedd anllythrennedd gobeithiol anobeithiol
llythrennedd anllythrennedd marwaidd anfarwaidd
llythrennedd anllythrennedd elfennu dadelfennu
llythrennedd anllythrennedd uno daduno
llythrennedd anllythrennedd adeiladu dadadeiladu
llythrennedd anllythrennedd gorchuddio dadorchuddio
llythrennedd anllythrennedd plygu dadblygu 
llythrennedd anllythrennedd tyngu dad-dyngu
llythrennedd anllythrennedd daearu dad-ddaearu
llythrennedd anllythrennedd meddiannu dadfeddiannu
llythrennedd anllythrennedd llwytho dadlwytho
llythrennedd anllythrennedd huno dihuno
llythrennedd anllythrennedd dirdro diddirdro
llythrennedd anllythrennedd enw dienw
llythrennedd anllythrennedd ofn diofn
llythrennedd anllythrennedd dadl diddadl
llythrennedd anllythrennedd cefnogaeth digefnogaeth
llythrennedd anllythrennedd defnydd diddefnydd
ffafrio anffafrio sefydlog ansefydlog
ffafrio anffafrio rhagweledig anrhagweledig
ffafrio anffafrio parod amharod 
ffafrio anffafrio trugarog anhrugarog
ffafrio anffafrio caredig angharedig
ffafrio anffafrio blinedig anflinedig
ffafrio anffafrio diddorol anniddorol
ffafrio anffafrio gobeithiol anobeithiol
ffafrio anffafrio marwaidd anfarwaidd
ffafrio anffafrio elfennu dadelfennu
ffafrio anffafrio uno daduno
ffafrio anffafrio adeiladu dadadeiladu
ffafrio anffafrio gorchuddio dadorchuddio
ffafrio anffafrio plygu dadblygu 
ffafrio anffafrio tyngu dad-dyngu
ffafrio anffafrio daearu dad-ddaearu
ffafrio anffafrio meddiannu dadfeddiannu
ffafrio anffafrio llwytho dadlwytho
ffafrio anffafrio huno dihuno
ffafrio anffafrio dirdro diddirdro
ffafrio anffafrio enw dienw
ffafrio anffafrio ofn diofn
ffafrio anffafrio dadl diddadl
ffafrio anffafrio cefnogaeth digefnogaeth
ffafrio anffafrio defnydd diddefnydd
sefydlog ansefydlog rhagweledig anrhagweledig
sefydlog ansefydlog parod amharod 
sefydlog ansefydlog trugarog anhrugarog
sefydlog ansefydlog caredig angharedig
sefydlog ansefydlog blinedig anflinedig
sefydlog ansefydlog diddorol anniddorol
sefydlog ansefydlog gobeithiol anobeithiol
sefydlog ansefydlog marwaidd anfarwaidd
sefydlog ansefydlog elfennu dadelfennu
sefydlog ansefydlog uno daduno
sefydlog ansefydlog adeiladu dadadeiladu
sefydlog ansefydlog gorchuddio dadorchuddio
sefydlog ansefydlog plygu dadblygu 
sefydlog ansefydlog tyngu dad-dyngu
sefydlog ansefydlog daearu dad-ddaearu
sefydlog ansefydlog meddiannu dadfeddiannu
sefydlog ansefydlog llwytho dadlwytho
sefydlog ansefydlog huno dihuno
sefydlog ansefydlog dirdro diddirdro
sefydlog ansefydlog enw dienw
sefydlog ansefydlog ofn diofn
sefydlog ansefydlog dadl diddadl
sefydlog ansefydlog cefnogaeth digefnogaeth
sefydlog ansefydlog defnydd diddefnydd
rhagweledig anrhagweledig parod amharod 
rhagweledig anrhagweledig trugarog anhrugarog
rhagweledig anrhagweledig caredig angharedig
rhagweledig anrhagweledig blinedig anflinedig
rhagweledig anrhagweledig diddorol anniddorol
rhagweledig anrhagweledig gobeithiol anobeithiol
rhagweledig anrhagweledig marwaidd anfarwaidd
rhagweledig anrhagweledig elfennu dadelfennu
rhagweledig anrhagweledig uno daduno
rhagweledig anrhagweledig adeiladu dadadeiladu
rhagweledig anrhagweledig gorchuddio dadorchuddio
rhagweledig anrhagweledig plygu dadblygu 
rhagweledig anrhagweledig tyngu dad-dyngu
rhagweledig anrhagweledig daearu dad-ddaearu
rhagweledig anrhagweledig meddiannu dadfeddiannu
rhagweledig anrhagweledig llwytho dadlwytho
rhagweledig anrhagweledig huno dihuno
rhagweledig anrhagweledig dirdro diddirdro
rhagweledig anrhagweledig enw dienw
rhagweledig anrhagweledig ofn diofn
rhagweledig anrhagweledig dadl diddadl
rhagweledig anrhagweledig cefnogaeth digefnogaeth
rhagweledig anrhagweledig defnydd diddefnydd
parod amharod  trugarog anhrugarog
parod amharod  caredig angharedig
parod amharod  blinedig anflinedig
parod amharod  diddorol anniddorol
parod amharod  gobeithiol anobeithiol
parod amharod  marwaidd anfarwaidd
parod amharod  elfennu dadelfennu
parod amharod  uno daduno
parod amharod  adeiladu dadadeiladu
parod amharod  gorchuddio dadorchuddio
parod amharod  plygu dadblygu 
parod amharod  tyngu dad-dyngu
parod amharod  daearu dad-ddaearu
parod amharod  meddiannu dadfeddiannu
parod amharod  llwytho dadlwytho
parod amharod  huno dihuno
parod amharod  dirdro diddirdro
parod amharod  enw dienw
parod amharod  ofn diofn
parod amharod  dadl diddadl
parod amharod  cefnogaeth digefnogaeth
parod amharod  defnydd diddefnydd
trugarog anhrugarog caredig angharedig
trugarog anhrugarog blinedig anflinedig
trugarog anhrugarog diddorol anniddorol
trugarog anhrugarog gobeithiol anobeithiol
trugarog anhrugarog marwaidd anfarwaidd
trugarog anhrugarog elfennu dadelfennu
trugarog anhrugarog uno daduno
trugarog anhrugarog adeiladu dadadeiladu
trugarog anhrugarog gorchuddio dadorchuddio
trugarog anhrugarog plygu dadblygu 
trugarog anhrugarog tyngu dad-dyngu
trugarog anhrugarog daearu dad-ddaearu
trugarog anhrugarog meddiannu dadfeddiannu
trugarog anhrugarog llwytho dadlwytho
trugarog anhrugarog huno dihuno
trugarog anhrugarog dirdro diddirdro
trugarog anhrugarog enw dienw
trugarog anhrugarog ofn diofn
trugarog anhrugarog dadl diddadl
trugarog anhrugarog cefnogaeth digefnogaeth
trugarog anhrugarog defnydd diddefnydd
caredig angharedig blinedig anflinedig
caredig angharedig diddorol anniddorol
caredig angharedig gobeithiol anobeithiol
caredig angharedig marwaidd anfarwaidd
caredig angharedig elfennu dadelfennu
caredig angharedig uno daduno
caredig angharedig adeiladu dadadeiladu
caredig angharedig gorchuddio dadorchuddio
caredig angharedig plygu dadblygu 
caredig angharedig tyngu dad-dyngu
caredig angharedig daearu dad-ddaearu
caredig angharedig meddiannu dadfeddiannu
caredig angharedig llwytho dadlwytho
caredig angharedig huno dihuno
caredig angharedig dirdro diddirdro
caredig angharedig enw dienw
caredig angharedig ofn diofn
caredig angharedig dadl diddadl
caredig angharedig cefnogaeth digefnogaeth
caredig angharedig defnydd diddefnydd
blinedig anflinedig diddorol anniddorol
blinedig anflinedig gobeithiol anobeithiol
blinedig anflinedig marwaidd anfarwaidd
blinedig anflinedig elfennu dadelfennu
blinedig anflinedig uno daduno
blinedig anflinedig adeiladu dadadeiladu
blinedig anflinedig gorchuddio dadorchuddio
blinedig anflinedig plygu dadblygu 
blinedig anflinedig tyngu dad-dyngu
blinedig anflinedig daearu dad-ddaearu
blinedig anflinedig meddiannu dadfeddiannu
blinedig anflinedig llwytho dadlwytho
blinedig anflinedig huno dihuno
blinedig anflinedig dirdro diddirdro
blinedig anflinedig enw dienw
blinedig anflinedig ofn diofn
blinedig anflinedig dadl diddadl
blinedig anflinedig cefnogaeth digefnogaeth
blinedig anflinedig defnydd diddefnydd
diddorol anniddorol gobeithiol anobeithiol
diddorol anniddorol marwaidd anfarwaidd
diddorol anniddorol elfennu dadelfennu
diddorol anniddorol uno daduno
diddorol anniddorol adeiladu dadadeiladu
diddorol anniddorol gorchuddio dadorchuddio
diddorol anniddorol plygu dadblygu 
diddorol anniddorol tyngu dad-dyngu
diddorol anniddorol daearu dad-ddaearu
diddorol anniddorol meddiannu dadfeddiannu
diddorol anniddorol llwytho dadlwytho
diddorol anniddorol huno dihuno
diddorol anniddorol dirdro diddirdro
diddorol anniddorol enw dienw
diddorol anniddorol ofn diofn
diddorol anniddorol dadl diddadl
diddorol anniddorol cefnogaeth digefnogaeth
diddorol anniddorol defnydd diddefnydd
gobeithiol anobeithiol marwaidd anfarwaidd
gobeithiol anobeithiol elfennu dadelfennu
gobeithiol anobeithiol uno daduno
gobeithiol anobeithiol adeiladu dadadeiladu
gobeithiol anobeithiol gorchuddio dadorchuddio
gobeithiol anobeithiol plygu dadblygu 
gobeithiol anobeithiol tyngu dad-dyngu
gobeithiol anobeithiol daearu dad-ddaearu
gobeithiol anobeithiol meddiannu dadfeddiannu
gobeithiol anobeithiol llwytho dadlwytho
gobeithiol anobeithiol huno dihuno
gobeithiol anobeithiol dirdro diddirdro
gobeithiol anobeithiol enw dienw
gobeithiol anobeithiol ofn diofn
gobeithiol anobeithiol dadl diddadl
gobeithiol anobeithiol cefnogaeth digefnogaeth
gobeithiol anobeithiol defnydd diddefnydd
marwaidd anfarwaidd elfennu dadelfennu
marwaidd anfarwaidd uno daduno
marwaidd anfarwaidd adeiladu dadadeiladu
marwaidd anfarwaidd gorchuddio dadorchuddio
marwaidd anfarwaidd plygu dadblygu 
marwaidd anfarwaidd tyngu dad-dyngu
marwaidd anfarwaidd daearu dad-ddaearu
marwaidd anfarwaidd meddiannu dadfeddiannu
marwaidd anfarwaidd llwytho dadlwytho
marwaidd anfarwaidd huno dihuno
marwaidd anfarwaidd dirdro diddirdro
marwaidd anfarwaidd enw dienw
marwaidd anfarwaidd ofn diofn
marwaidd anfarwaidd dadl diddadl
marwaidd anfarwaidd cefnogaeth digefnogaeth
marwaidd anfarwaidd defnydd diddefnydd
elfennu dadelfennu uno daduno
elfennu dadelfennu adeiladu dadadeiladu
elfennu dadelfennu gorchuddio dadorchuddio
elfennu dadelfennu plygu dadblygu 
elfennu dadelfennu tyngu dad-dyngu
elfennu dadelfennu daearu dad-ddaearu
elfennu dadelfennu meddiannu dadfeddiannu
elfennu dadelfennu llwytho dadlwytho
elfennu dadelfennu huno dihuno
elfennu dadelfennu dirdro diddirdro
elfennu dadelfennu enw dienw
elfennu dadelfennu ofn diofn
elfennu dadelfennu dadl diddadl
elfennu dadelfennu cefnogaeth digefnogaeth
elfennu dadelfennu defnydd diddefnydd
uno daduno adeiladu dadadeiladu
uno daduno gorchuddio dadorchuddio
uno daduno plygu dadblygu 
uno daduno tyngu dad-dyngu
uno daduno daearu dad-ddaearu
uno daduno meddiannu dadfeddiannu
uno daduno llwytho dadlwytho
uno daduno huno dihuno
uno daduno dirdro diddirdro
uno daduno enw dienw
uno daduno ofn diofn
uno daduno dadl diddadl
uno daduno cefnogaeth digefnogaeth
uno daduno defnydd diddefnydd
adeiladu dadadeiladu gorchuddio dadorchuddio
adeiladu dadadeiladu plygu dadblygu 
adeiladu dadadeiladu tyngu dad-dyngu
adeiladu dadadeiladu daearu dad-ddaearu
adeiladu dadadeiladu meddiannu dadfeddiannu
adeiladu dadadeiladu llwytho dadlwytho
adeiladu dadadeiladu huno dihuno
adeiladu dadadeiladu dirdro diddirdro
adeiladu dadadeiladu enw dienw
adeiladu dadadeiladu ofn diofn
adeiladu dadadeiladu dadl diddadl
adeiladu dadadeiladu cefnogaeth digefnogaeth
adeiladu dadadeiladu defnydd diddefnydd
gorchuddio dadorchuddio plygu dadblygu 
gorchuddio dadorchuddio tyngu dad-dyngu
gorchuddio dadorchuddio daearu dad-ddaearu
gorchuddio dadorchuddio meddiannu dadfeddiannu
gorchuddio dadorchuddio llwytho dadlwytho
gorchuddio dadorchuddio huno dihuno
gorchuddio dadorchuddio dirdro diddirdro
gorchuddio dadorchuddio enw dienw
gorchuddio dadorchuddio ofn diofn
gorchuddio dadorchuddio dadl diddadl
gorchuddio dadorchuddio cefnogaeth digefnogaeth
gorchuddio dadorchuddio defnydd diddefnydd
plygu dadblygu  tyngu dad-dyngu
plygu dadblygu  daearu dad-ddaearu
plygu dadblygu  meddiannu dadfeddiannu
plygu dadblygu  llwytho dadlwytho
plygu dadblygu  huno dihuno
plygu dadblygu  dirdro diddirdro
plygu dadblygu  enw dienw
plygu dadblygu  ofn diofn
plygu dadblygu  dadl diddadl
plygu dadblygu  cefnogaeth digefnogaeth
plygu dadblygu  defnydd diddefnydd
tyngu dad-dyngu daearu dad-ddaearu
tyngu dad-dyngu meddiannu dadfeddiannu
tyngu dad-dyngu llwytho dadlwytho
tyngu dad-dyngu huno dihuno
tyngu dad-dyngu dirdro diddirdro
tyngu dad-dyngu enw dienw
tyngu dad-dyngu ofn diofn
tyngu dad-dyngu dadl diddadl
tyngu dad-dyngu cefnogaeth digefnogaeth
tyngu dad-dyngu defnydd diddefnydd
daearu dad-ddaearu meddiannu dadfeddiannu
daearu dad-ddaearu llwytho dadlwytho
daearu dad-ddaearu huno dihuno
daearu dad-ddaearu dirdro diddirdro
daearu dad-ddaearu enw dienw
daearu dad-ddaearu ofn diofn
daearu dad-ddaearu dadl diddadl
daearu dad-ddaearu cefnogaeth digefnogaeth
daearu dad-ddaearu defnydd diddefnydd
meddiannu dadfeddiannu llwytho dadlwytho
meddiannu dadfeddiannu huno dihuno
meddiannu dadfeddiannu dirdro diddirdro
meddiannu dadfeddiannu enw dienw
meddiannu dadfeddiannu ofn diofn
meddiannu dadfeddiannu dadl diddadl
meddiannu dadfeddiannu cefnogaeth digefnogaeth
meddiannu dadfeddiannu defnydd diddefnydd
llwytho dadlwytho huno dihuno
llwytho dadlwytho dirdro diddirdro
llwytho dadlwytho enw dienw
llwytho dadlwytho ofn diofn
llwytho dadlwytho dadl diddadl
llwytho dadlwytho cefnogaeth digefnogaeth
llwytho dadlwytho defnydd diddefnydd
huno dihuno dirdro diddirdro
huno dihuno enw dienw
huno dihuno ofn diofn
huno dihuno dadl diddadl
huno dihuno cefnogaeth digefnogaeth
huno dihuno defnydd diddefnydd
dirdro diddirdro enw dienw
dirdro diddirdro ofn diofn
dirdro diddirdro dadl diddadl
dirdro diddirdro cefnogaeth digefnogaeth
dirdro diddirdro defnydd diddefnydd
enw dienw ofn diofn
enw dienw dadl diddadl
enw dienw cefnogaeth digefnogaeth
enw dienw defnydd diddefnydd
ofn diofn dadl diddadl
ofn diofn cefnogaeth digefnogaeth
ofn diofn defnydd diddefnydd
dadl diddadl cefnogaeth digefnogaeth
dadl diddadl defnydd diddefnydd
cefnogaeth digefnogaeth defnydd diddefnydd
: gram3-comparative
cas casach dewr dewrach
cas casach du duach
cas casach glân glanach
cas casach pur purach
cas casach hapus hapusach
cas casach hŷn hynach
cas casach melyn melynach
cas casach coch cochach
cas casach pell pellach
cas casach rhad rhatach
dewr dewrach du duach
dewr dewrach glân glanach
dewr dewrach pur purach
dewr dewrach hapus hapusach
dewr dewrach hŷn hynach
dewr dewrach melyn melynach
dewr dewrach coch cochach
dewr dewrach pell pellach
dewr dewrach rhad rhatach
du duach glân glanach
du duach pur purach
du duach hapus hapusach
du duach hŷn hynach
du duach melyn melynach
du duach coch cochach
du duach pell pellach
du duach rhad rhatach
glân glanach pur purach
glân glanach hapus hapusach
glân glanach hŷn hynach
glân glanach melyn melynach
glân glanach coch cochach
glân glanach pell pellach
glân glanach rhad rhatach
pur purach hapus hapusach
pur purach hŷn hynach
pur purach melyn melynach
pur purach coch cochach
pur purach pell pellach
pur purach rhad rhatach
hapus hapusach hŷn hynach
hapus hapusach melyn melynach
hapus hapusach coch cochach
hapus hapusach pell pellach
hapus hapusach rhad rhatach
hŷn hynach melyn melynach
hŷn hynach coch cochach
hŷn hynach pell pellach
hŷn hynach rhad rhatach
melyn melynach coch cochach
melyn melynach pell pellach
melyn melynach rhad rhatach
coch cochach pell pellach
coch cochach rhad rhatach
pell pellach rhad rhatach
: gram4-superlative
cas casaf dewr dewraf
cas casaf du duaf
cas casaf glân glanaf
cas casaf pur puraf
cas casaf hapus hapusaf
cas casaf hŷn hynaf
cas casaf melyn melynaf
cas casaf coch cochaf
