cariad,rhyw,6.77
teigr,cath,7.35
teigr,teigr,10
llyfr,papur,7.46
cyfrifiadur,bysellfwrdd,7.62
cyfrifiadur,rhyngrwyd,7.58
awyren,car,5.77
trên,car,6.31
ffôn,cyfathrebu,7.5
teledu,radio,6.77
cyfryngau,radio,7.42
cyffur,cam-drin,6.85
bara,menyn,6.19
ciwcymbr,tatws,5.92
meddyg,nyrs,7
athro,doctor,6.62
myfyriwr,athro,6.81
call,myfyriwr,4.62
call,twp,5.81
cwmni,stoc,7.08
stoc,marchnad,8.08
stoc,ffôn,1.62
stoc,cd,1.31
stoc,jagwar,0.92
stoc,wy,1.81
ffrwythlondeb,wy,6.69
stoc,byw,3.73
stoc,bywyd,0.92
llyfr,llyfrgell,7.46
banc,arian,8.12
pren,coedwig,7.73
arian,arian parod,9.15
athro,ciwcymbr,0.31
brenin,bresych,0.23
brenin,brenhines,8.58
brenin,castell,5.92
esgob,rabbi,6.69
jerwsalem,israel,8.46
jerwsalem,palestinaidd,7.65
sanctaidd,rhyw,1.62
ffwcio,rhyw,9.44
maradona,pêl droed,8.62
pêl droed,pêl fasged,6.81
pêl droed,tenis,6.63
tenis,raced,7.56
arafat,heddwch,6.73
arafat,terfysg,7.65
arafat,jackson,2.5
cyfraith,cyfreithiwr,8.38
ffilm,seren,7.38
ffilm,popgorn,6.19
ffilm,beirniad,6.73
ffilm,theatr,7.92
ffiseg,proton,8.12
ffiseg,cemeg,7.35
gofod,cemeg,4.88
alcohol,cemeg,5.54
fodca,gin,8.46
fodca,brandi,8.13
yfed,car,3.04
yfed,clust,1.31
yfed,ceg,5.96
yfed,bwyta,6.87
babi,mam,7.85
yfed,mam,2.65
car,modur,8.94
gem,tlws,8.96
taith,siwrne,9.29
bachgen,llanc,8.83
arfordir,glan,9.1
seilam,gwallgofdy,8.87
swynwr,dewin,9.02
canol dydd,hanner dydd,9.29
ffwrn,stôf,8.79
bwyd,ffrwyth,7.52
aderyn,ceiliog,7.1
aderyn,garan,7.38
offer,teclyn,6.46
brawd,mynach,6.27
craen,offer,2.69
llanc,brawd,4.46
siwrne,car,5.85
mynach,oracl,5
mynwent,coedwig,2.08
bwyd,ceiliog,4.42
arfordir,bryn,4.38
coedwig,mynwent,1.85
glan,coedwig,3.08
mynach,caethwas,0.92
arfordir,coedwig,3.15
llanc,dewin,0.92
cord,gwênu,0.54
gwydr,consuriwr,2.08
hanner dydd,llinyn,0.54
ceiliog,taith,0.62
arian,doler,8.42
arian,arian parod,9.08
arian,arian cyfred,9.04
arian,cyfoeth,8.27
arian,eiddo,7.57
arian,meddiant,7.29
arian,banc,8.5
arian,blaendal,7.73
arian,alldyniad,6.88
arian,gwyngalchu,5.65
arian,gweithrediad,3.31
teigr,jagwar,8
teigr,cathaidd,8
teigr,cigysydd,7.08
teigr,mamal,6.85
teigr,anifail,7
teigr,organeb,4.77
teigr,ffawna,5.62
teigr,sw,5.87
seicoleg,seiciatreg,8.08
seicoleg,pryder,7
seicoleg,ofn,6.85
seicoleg,iselder,7.42
seicoleg,clinig,6.58
seicoleg,meddyg,6.42
seicoleg,freud,8.21
seicoleg,meddwl,7.69
seicoleg,iechyd,7.23
seicoleg,gwyddoniaeth,6.71
seicoleg,disgyblaeth,5.58
seicoleg,gwybyddiaeth,7.48
planed,seren,8.45
planed,cytser,8.06
planed,lleuad,8.08
planed,haul,8.02
planed,galaeth,8.11
planed,gofod,7.92
planed,seryddwr,7.94
cynsail,enghraifft,5.85
cynsail,gwybodaeth,3.85
cynsail,gwybyddiaeth,2.81
cynsail,cyfraith,6.65
cynsail,casgliad,2.5
cynsail,grŵp,1.77
cynsail,rhagflaenydd,6.04
cwpan,coffi,6.58
cwpan,llestri,6.85
cwpan,nwydd,2.4
cwpan,artiffact,2.92
cwpan,gwrthrych,3.69
cwpan,endid,2.15
cwpan,diod,7.25
cwpan,bwyd,5
cwpan,sylwedd,1.92
cwpan,hylif,5.9
jagwar,cath,7.42
jagwar,car,7.27
egni,ysgrifennydd,1.81
ysgrifennydd,senedd,5.06
egni,labordy,5.09
cyfrifiadur,labordy,6.78
arf,cyfrinach,6.06
fbi,olion bysedd,6.94
fbi,ymchwiliad,8.31
ymchwiliad,ymdrech,4.59
mawrth,dŵr,2.94
mawrth,gwyddonydd,5.63
newyddion,adroddiad,8.16
ceunant,tirwedd,7.53
delwedd,arwyneb,4.56
darganfyddiad,gofod,6.34
dŵr,tryddiferu,6.56
arwydd,toriad,2.38
dydd mercher,newyddion,2.22
milltir,cilomedr,8.66
cyfrifiadur,newyddion,4.47
tiriogaeth,arwyneb,5.34
awyrgylch,tirwedd,3.69
arlywydd,medal,3
rhyfel,milwyr,8.13
record,nifer,6.31
croen,llygad,6.22
japaneaidd,americanaidd,6.5
theatr,hanes,3.91
gwirfoddolwr,arwyddair,2.56
rhagfarn,cydnabyddiaeth,3
addurn,dewrder,5.63
canrif,blwyddyn,7.59
canrif,cenedl,3.16
oedi,hiliaeth,1.19
oedi,newyddion,3.31
gweinidog,plaid,6.63
heddwch,cynllun,4.75
lleiafrif,heddwch,3.69
cais,heddwch,4.25
llywodraeth,argyfwng,6.56
ymfyddiniad,ymadawiad,4.25
ymfyddiniad,alldyniaid,5.88
egni,argyfwng,5.94
cyhoeddiad,newyddion,7.56
cyhoeddiad,ymdrech,2.75
strôc,ysbyty,7.03
anabledd,marwolaeth,5.47
dioddefwr,argyfwng,6.47
triniaeth,adferiad,7.91
cyfnodolyn,cymdeithas,4.97
meddyg,personél,5
meddyg,atebolrwydd,5.19
atebolrwydd,yswiriant,7.03
ysgol,canol,3.44
rheswm,gorbwysedd,2.31
rheswm,maen prawf,5.91
cant,canran,7.38
harvard,yale,8.13
ysbyty,isadeiledd,4.63
marwolaeth,rhes,5.25
