
Copyright 2016 Prifysgol Bangor University

   Licensed under the Apache License, Version 2.0 (the "License");
   you may not use this file except in compliance with the License.
   You may obtain a copy of the License at

       http://www.apache.org/licenses/LICENSE-2.0

   Unless required by applicable law or agreed to in writing, software
   distributed under the License is distributed on an "AS IS" BASIS,
   WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
   See the License for the specific language governing permissions and
   limitations under the License.

'C' / 'S' scroll	sgrôl 'C' / 'S'
'E' alloy	aloi 'E'
'F' hole	seindwll
'Y' alloy	aloi 'Y'
'blue' notes	nodau 'blue'
(+)-(D)- glucose	(+)-(D)- glwcos
(+)-(D)-glucose	(+)-(D)-glwcos
(-)-2,3-dihydroxybutanedioic acid	asid (-)-2,3-deuhydrocsibwtandeuöig
(carboxymethyl)ammonium chloride	(carbocsimethyl)amoniwm clorid
(chloromethyl)benzene	(cloromethyl)bensen
(dichloromethyl)benzene	(deucloromethyl)bensen
(phenylmethyl)amine	(ffenylmethyl)amin
(trichloromethyl)benzene	(tricloromethyl)bensen
(±)-2,3-dihydroxybutanedioic acid	asid (±)-2,3-deuhydrocsibwtandeuöig
1,1,2,2-tetrabromoethane	1,1,2,2-tetrabromoethan
1,1,2,2-tetrachloroethane	1,1,2,2-tetracloroethan
1,1-dibromoethane	1,1-deubromoethan
1,1-diethoxyethane	1,1-deuethocsiethan
1,2,3,4,5,6-hexachlorocyclohexane	1,2,3,4,5,6-hecsaclorocylchohecsan
1,2-bis[bis(carboxymethyl)amino]ethane	1,2-bis[bis(carbocsimethyl)amino]ethan
1,2-dibromoethane	1,2-deubromoethan
1,2-dichloroethene	1,2-deucloroethen
1,2-dimethylbenzene	1,2-deumethylbensen
1,2-diphenylethanedione	1,2-deuffenylethandeuon
1,2-diphenylethene	1,2-deuffenylethen
1,3,5-trimethylbenzene	1,3,5-trimethylbensen
1,3-dinitrobenzene	1,3-deunitrobensen
1,4-dichlorobenzene	1,4-deuclorobensen
1-chloro-2-methylbenzene	1-cloro-2-methylbensen
1-methyl-2-nitrobenzene	1-methyl-2-nitrobensen
1-nitro-2-phenylethene	1-nitro-2-ffenylethen
2,2,2-trichloroethanediol	2,2,2-tricloroethandeuol
2,2,4-trimethylpentane	2,2,4-trimethylpentan
2,2-dimethylbutane	2,2-deumethylbwtan
2,2-dimethylpropan-1-ol	2,2-deumethylpropan-1-ol
2,3-dihydroxybutanedioate oxide	2,3-deuhydrocsibwtandeuoad ocsid
2,3-dimethylbutane-2,3-diol	2,3-deumethylbwtan-2,3-deuol
2,4,6-trinitrophenol	2,4,6-trinitroffenol
2,4-dichlorophenoxyacetic acid	asid 2,4-dicloroffenocsiasetig
2,4-diisocyanato-1-methylbenzene	2,4-deuisocyanato-1-methylbensen
2-aminobenzenecarboxylic acid	asid 2-aminobensencarbocsylig
2-aminoethanol	2-aminoethanol
2-aminopentanedioic acid	asid 2-aminopentandeuöig
2-aminophenol	2-aminoffenol
2-aminopropanoic acid	asid 2-aminopropanöig
2-chlorobuta-1,3-diene	2-clorobwta-1,3-deuen
2-chloroethanol	2-cloroethanol
2-ethanoyloxybenzenecarboxylic acid	asid 2-ethanoylocsibensencarbocsylig
2-hydroxy-1,2-diphenylethanone	2-hydrocsi-1,2-deuffenylethanon
2-hydroxy-2-methylpropanenitrile	2-hydrocsi-2-methylpropannitril
2-hydroxybenzenecarbaldehyde	2-hydrocsibensencarbaldehyd
2-hydroxybenzenecarboxylic acid	asid 2-hydrocsibensencarbocsylig
2-hydroxybutanedioic acid	asid 2-hydrocsibwtandeuöig
