english welsh
seed hedyn
combustion hylosgiad
extraneous dieithr
occasional ysbeidiol
pettish anfoddog
agricultural amaethyddol
lump talp
heir aer
stronghold amddiffynfa
persuade perswadio
maintainer cynheiliad
abasement lleihad
overturn dymchwelyd
proportionate cymesur
scream gwaedd
snuffle snwffian
historiography hanesyddiaeth
sweep brwsiad
warty dafadennog
jaw safn
scene golygfa
lack eisiau
virile egnïol
chorus cytgan
removable symudadwy
dope cyffur
usher arwain
demolish chwalu
still llonyddu
moist llaith
prepay rhagdalu
structure saernïo
kerosene paraffin
projective alldaflol
paltry distadl
stroll rhodio
obvious eglur
cinema sinema
lapse methiant
romantic rhamantaidd
inmate carcharor
missionary cenhadol
straggler crwydryn
repartee ffraetheb
polished caboledig
cordon ruban
hydrate hydrad
swarm torf
renounce diarddel
auspices nawdd
dead cywir
tract rhandir
scan archwilio
semaphore semaffor
earth tir
fixity sefydlogrwydd
collective cyfunol
output cynnyrch
zealous eiddgar
view golygfa
fraction ffracsiwn
plague blino
pillager ysbeiliwr
downgrading israddio
counter cownter
bray nadu
meson meson
undercurrent islif
vortex trobwll
impulsive byrbwyll
fossil ffosil
saturated dwys
sheet llen
trickery twyll
spacious helaeth
west gorllewin
fringe rhidens
hear clywed
jag bylchu
unbending ystyfnig
agog awyddus
canonical canonaidd
parting ymadawol
scent ffroeni
flying cyflym
laudanum lodom
slaver glafoer
corrigendum cywiriad
ascend esgyn
ravine hafn
livelihood bywoliaeth
portico portico
genuine dilys
reclaim adfer
of o
innate cynhwynol
east dwyreiniol
tussle ymgiprys
continence cymedroldeb
demure swil
obsession obsesiwn
training hyfforddiadol
waltz waltsio
bandy bando
overrule goruwchreoli
cloy syrffedu
truss swp
wear gwisg
common comin
thinker meddyliwr
oesophagus sefnig
hawk rhyfelgi
shot saethwr
oppression gorthrwm
remorseless didostur
desecration halogiad
feigned gau
exploit camp
straighten sythu
support ymgynnal
home adra
bowman saethydd
synchronous cydamseredig
rest cynhaliwr
aghast syn
unpretentious gwylaidd
elastic ystwyth
unwell afiach
valorous gwrol
scarce prin
imperfection diffyg
extermination difodiad
action arwaith
tinkling tinciog
joyless aflawen
inhuman ciaidd
flourishing llewyrchus
mope hurtyn
dispersive gwasgarol
bed gwely
pathological patholegol
jolt ysgytiad
divot tywarchen
antinomian antinomiad
lettered dysgedig
rebuke ceryddu
snatch herwgipio
infamy gwaradwydd
colt ebol
parting ymadawiad
whit tamaid
scenery golygfa
reduce rhydwytho
hateful cas
preconception rhagdybiaeth
recruit recriwt
intractable afreolus
mole môl
hydrate hydradu
wort breci
abridge cwtogi
inversion gwrthdroad
glory gogoniant
quantity mesur
fantastic ffantastig
mischievous direidus
territory tiriogaeth
escalation gwaethygiad
introjection cymathiad
following canlynol
barbarism barbariaeth
dew gwlith
capacity medr
membership aelodaeth
denominate galw
chair cadeirio
abiding parhaus
crown corun
pensile crog
webmaster gwefeistr
sheepish gwylaidd
improvident afradlon
shark morgi
alimony alimoni
perspective golygfa
igloo iglw
light goleuo
drone grŵn
woad glaslys
stye llefelyn
telephone teleffonio
lame cloff
zest afiaith
percept canfodiad
loafer diogyn
unlucky anffodus
thrill ias
operator cysylltydd
twist cordeddu
